epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,414.91,0.45832,0.35315,0.91757,0.99864,0.96226,0.97181,0.89862,0.43345,0.43349,0.87537,0.0002971,0.0002971,0.0002971
73,420.671,0.43352,0.32186,0.90189,1,0.94218,0.96952,0.8969,0.44547,0.42793,0.87492,0.0002872,0.0002872,0.0002872
74,426.448,0.44287,0.34587,0.92658,0.97825,0.9434,0.9678,0.90928,0.44336,0.43,0.8653,0.0002773,0.0002773,0.0002773
75,432.294,0.45857,0.33141,0.93173,0.97882,0.9434,0.96705,0.89798,0.43927,0.40597,0.8742,0.0002674,0.0002674,0.0002674
76,438.058,0.46824,0.337,0.93076,1,0.9415,0.97008,0.90612,0.39977,0.36426,0.85567,0.0002575,0.0002575,0.0002575
77,443.849,0.47004,0.36224,0.94228,0.97898,0.9434,0.97232,0.90761,0.43811,0.42297,0.86391,0.0002476,0.0002476,0.0002476
78,449.652,0.42667,0.30395,0.90431,0.95694,0.9434,0.97147,0.89476,0.4263,0.38416,0.85617,0.0002377,0.0002377,0.0002377
79,455.429,0.46772,0.33307,0.92416,1,0.92125,0.96757,0.88511,0.4235,0.39341,0.85845,0.0002278,0.0002278,0.0002278
80,461.214,0.39121,0.28391,0.89085,0.99827,0.9434,0.97046,0.89656,0.44619,0.40903,0.87107,0.0002179,0.0002179,0.0002179
81,467.012,0.43654,0.32666,0.90208,0.99899,0.9434,0.97086,0.90981,0.41875,0.36594,0.86254,0.000208,0.000208,0.000208
82,472.858,0.40059,0.28557,0.88456,0.99726,0.96226,0.97421,0.89336,0.46648,0.39258,0.87428,0.0001981,0.0001981,0.0001981
83,478.639,0.4349,0.32229,0.91025,0.99167,0.96226,0.97411,0.90175,0.42982,0.37466,0.86392,0.0001882,0.0001882,0.0001882
84,484.42,0.4555,0.31376,0.92388,1,0.94056,0.97013,0.90071,0.40714,0.35308,0.8572,0.0001783,0.0001783,0.0001783
85,490.194,0.42703,0.3185,0.89171,0.99893,0.9434,0.96742,0.89393,0.40915,0.35611,0.85856,0.0001684,0.0001684,0.0001684
86,495.976,0.42862,0.31585,0.92956,0.99885,0.9434,0.96831,0.90232,0.39832,0.35579,0.85701,0.0001585,0.0001585,0.0001585
87,501.757,0.39177,0.28265,0.87957,0.99996,0.96226,0.97454,0.90251,0.38905,0.34971,0.85168,0.0001486,0.0001486,0.0001486
88,507.536,0.41822,0.29029,0.89621,0.99893,0.96226,0.97501,0.91285,0.38511,0.35901,0.85112,0.0001387,0.0001387,0.0001387
89,513.376,0.40958,0.29191,0.8962,1,0.94184,0.97402,0.91234,0.39677,0.36762,0.85466,0.0001288,0.0001288,0.0001288
90,519.152,0.40222,0.30444,0.88725,0.98974,0.96226,0.97432,0.90076,0.41421,0.37615,0.85709,0.0001189,0.0001189,0.0001189
91,525.466,0.32678,0.22631,0.86039,0.99756,0.96226,0.97381,0.90882,0.38801,0.36394,0.85257,0.000109,0.000109,0.000109
92,531.259,0.3381,0.23065,0.83644,1,0.96047,0.97327,0.90867,0.40071,0.35177,0.85216,9.91e-05,9.91e-05,9.91e-05
93,537.021,0.32983,0.22974,0.83527,1,0.95992,0.97401,0.9223,0.39515,0.34137,0.84861,8.92e-05,8.92e-05,8.92e-05
94,542.855,0.3006,0.21448,0.83757,1,0.96024,0.97372,0.91498,0.39143,0.35543,0.8452,7.93e-05,7.93e-05,7.93e-05
95,548.628,0.31843,0.22869,0.82656,1,0.96056,0.97443,0.89888,0.39004,0.34666,0.84389,6.94e-05,6.94e-05,6.94e-05
96,554.396,0.3174,0.22742,0.84667,0.99865,0.9434,0.97333,0.90107,0.39382,0.34431,0.84657,5.95e-05,5.95e-05,5.95e-05
97,560.155,0.31926,0.22668,0.85552,0.99874,0.9434,0.97394,0.90352,0.39171,0.35939,0.84871,4.96e-05,4.96e-05,4.96e-05
98,565.921,0.33632,0.2267,0.84438,0.99871,0.9434,0.97439,0.90372,0.40163,0.39543,0.85585,3.97e-05,3.97e-05,3.97e-05
99,571.681,0.31491,0.21138,0.84226,0.99871,0.9434,0.97404,0.90617,0.40028,0.39361,0.85475,2.98e-05,2.98e-05,2.98e-05
100,577.447,0.2984,0.21235,0.8387,0.99875,0.9434,0.97373,0.90461,0.39729,0.38336,0.85275,1.99e-05,1.99e-05,1.99e-05
